train_loss,train_acc,test_loss,test_acc
1.6839888095855713,0.38242,1.2366435527801514,0.5629
1.171629786491394,0.5843,0.9519559144973755,0.6733
0.9024346470832825,0.6862,1.0130671262741089,0.6694
0.7423898577690125,0.74394,0.6966329216957092,0.7655
0.6215540766716003,0.78672,0.7170027494430542,0.7593
0.5351248979568481,0.81692,0.6040218472480774,0.7994
0.4668847918510437,0.84232,0.5843284726142883,0.8041
0.4083781838417053,0.86362,0.5481511354446411,0.8174
0.35821297764778137,0.87818,0.5035524964332581,0.8334
0.30774611234664917,0.89594,0.5123723149299622,0.8334
0.27501606941223145,0.90576,0.4880436658859253,0.8512
0.24253229796886444,0.91686,0.4805908203125,0.8504
0.21802592277526855,0.92506,0.5334358811378479,0.8434
0.19771583378314972,0.93194,0.4789722263813019,0.8546
0.17325392365455627,0.94088,0.5504263639450073,0.837
0.15140874683856964,0.94734,0.523947536945343,0.8515
0.13677631318569183,0.95294,0.5397346019744873,0.847
0.11988172680139542,0.95954,0.4430129826068878,0.8746
0.11220020800828934,0.96212,0.5308035612106323,0.8585
0.10290820896625519,0.96472,0.5371838212013245,0.8564
